algorithm,expression_str
llm,x * cos(x**2) * log(1 + sqrt(1 + sin(x**2)))**2 / sqrt(1 + sin(x**2))
llm,x**4 * atan(exp(x**5)) * exp(x**5) / (1 + exp(2*x**5))
llm,x * atan(sqrt(1 + x**2)) / sqrt(1 + x**2)
llm,x * cos(x**2) * sqrt(1 + sin(x**2)) * log(1 + sin(x**2))
llm,x * exp(x**2) * sin(exp(x**2)) * log(1 + cos(exp(x**2)))
llm,x * exp(x**2) * log(cosh(exp(x**2)))**2 * tanh(exp(x**2))
llm,x * exp(x**2) * atan(exp(x**2)) * log(1 + atan(exp(x**2))) / (1 + exp(2*x**2))
llm,x * exp(x**2) * atan(exp(x**2)) / (1 + exp(2*x**2))
llm,x * exp(x**2) * log(log(1 + exp(x**2))) / (1 + exp(x**2))
llm,x**2 * sqrt(1 + x) * log(1 + x)
llm,x**4 * sin(x**5) * cos(x**5)
llm,x * exp(x**2) * cos(exp(x**2))
llm,x * sin(x**2) * log(1 + asin(cos(x**2)))**3 / sqrt(1 - cos(x**2)**2)
llm,x * atan(exp(x**2))**2 * exp(x**2) / (1 + exp(2*x**2))
llm,x * sin(x**2) * sqrt(1 + cos(x**2)) * log(1 + cos(x**2))**3 * sin(log(1 + cos(x**2)))
llm,x * sin(x**2) * log(1 + cos(x**2))**5 / sqrt(1 + cos(x**2))
llm,x * log(1 + x) / (x + 1)
llm,x**(3/2) * atan(sqrt(x)) * log(1 + x)
llm,x * cos(x**2) * log(atanh(sin(x**2)))**2 / (1 - sin(x**2)**2)
llm,x**2 * exp(x**3) * sqrt(1 + exp(x**3)) * log(1 + exp(x**3))
llm,x**2 * atan(x) * log(1 + x**2)
llm,x**4 * log(1 + sin(x**5)) * cos(x**5)
llm,x * exp(x**2) * sin(exp(x**2)) * log(1 + log(1 + cos(exp(x**2)))) / (1 + cos(exp(x**2)))
llm,x * exp(x**2) * sin(exp(x**2))**2 * cos(exp(x**2))**2
llm,x**2 * cos(x**3) * sqrt(1 + sin(x**3))
llm,x * acos(x) * sqrt(1 - x**2)
llm,exp(x) * tan(exp(x))
llm,x * exp(x**2) * log(atanh(exp(x**2)) + 1)**2 / (1 - exp(2*x**2))
llm,x * sin(x**2) * sin(log(1 + cos(x**2))) * cos(log(1 + cos(x**2)))**2 / (1 + cos(x**2))
llm,x * asin(x**2)
llm,x**3 * sin(x**4) * (1 + cos(x**4))**(3/2) * log(1 + cos(x**4))
llm,sin(x) * cos(x) * log(sin(x))
llm,x * sin(x**2) * cos(x**2)
llm,x**3 * atan(exp(x**4)) * exp(x**4) / (1 + exp(2*x**4))
llm,x * sin(x)**3 * cos(x)**2
llm,x * atan(sqrt(exp(x**2) - 1)) * sqrt(exp(x**2) - 1) * exp(x**2)
llm,sin(x) * cos(x) * sqrt(1 + sin(x))
llm,x * sin(x**2) * asin(cos(x**2)) / sqrt(1 - cos(x**2)**2)
llm,x * sin(log(x**2 + 1)) * cos(log(x**2 + 1))**6 / (x**2 + 1)
llm,x * exp(x**2) * sin(exp(x**2)) * cos(exp(x**2))**2 * log(1 + sin(exp(x**2)))
llm,x * cos(x**2) * log(1 + sin(x**2)**2)
llm,x * exp(x**2) * sin(exp(x**2)) * cos(exp(x**2)) * sqrt(1 + sin(exp(x**2)))
llm,x * cos(log(1 + x**2)) / (1 + x**2)
llm,x * exp(cos(x**2)) * log(exp(cos(x**2)) + 1)**3 * sin(x**2) / (1 + exp(cos(x**2)))
llm,x**2 * sin(x**3) * sqrt(1 + cos(x**3))
llm,x * log(sqrt(1 - x**2) + 1) / sqrt(1 - x**2)
llm,x * sin(x**2) * cos(x**2) * exp(sin(x**2))
llm,x**2 * log(1 + x) / sqrt(1 + x)
llm,x * exp(x**2) * sin(exp(x**2)) * sqrt(1 + cos(exp(x**2))) * log(1 + cos(exp(x**2)))
llm,x * exp(x**2) * cos(exp(x**2)) / (1 + sin(exp(x**2)))
llm,x * sin(x**2) * cos(x**2) * exp(sin(x**2)**2)
llm,sin(x) * cos(x) * log(1 + sin(x)) / sqrt(1 + sin(x))
llm,x**3 * cos(x**4) * sqrt(1 + sin(x**4)) * atan(sqrt(1 + sin(x**4)))
llm,x**3 * sin(x**4) * log(1 + cos(x**4)) / (1 + cos(x**4))
llm,exp(x) * sin(exp(x)) * cos(exp(x))
llm,x * sin(x**2) * sin(log(1 + cos(x**2))) * cos(log(1 + cos(x**2))) / (1 + cos(x**2))
llm,sin(x)**2 * cos(x) * log(1 + sin(x))
llm,x**3 * log(x)
llm,x**3 * sin(x**4) * log(1 + log(1 + cos(x**4))) / (1 + cos(x**4))
llm,x * exp(x**2) * log(1 + atan(exp(x**2))) / (1 + exp(2*x**2))
llm,x**3 * sin(x**4) * log(1 + log(1 + cos(x**4)))**2 / (1 + cos(x**4))
llm,sin(x) * cos(x) * log(1 + sin(x))
llm,x * exp(x**2) * sqrt(exp(x**2) + 1) * log(exp(x**2) + sqrt(exp(x**2) + 1)) / sqrt(exp(x**2) + 1)
llm,x**2 * cos(x) + x * exp(x)
llm,x**2 * exp(sin(x**3)) * sin(x**3) * cos(x**3)
llm,x**2 * sin(x**3) * sqrt(1 + cos(x**3)) * log(1 + cos(x**3))**3
llm,x * sin(x**2) * atan(sqrt(1 + cos(x**2))) * cos(x**2) / (1 + cos(x**2))
llm,x**3 * sin(x**4) * sqrt(1 + cos(x**4)) * log(1 + cos(x**4))
llm,x**2 * log(1 + x**3) / sqrt(1 + x**3)
llm,x**2 * sin(x**3) * sqrt(1 + sin(x**3)) * cos(x**3)
llm,x * log(x**2 + 1)**3 * cos(log(x**2 + 1)) / (x**2 + 1)
llm,log(x) / (x * (1 + log(x)**2))
llm,x**3 * exp(x**4) * sqrt(exp(x**4) + 1) / (exp(x**4) - 1)
llm,x * sin(x**2) * exp(cos(x**2)) * log(1 + exp(cos(x**2))) / (1 + exp(cos(x**2)))
llm,x * exp(x**2) * sin(exp(x**2)) * log(1 + sqrt(1 + cos(exp(x**2)))) / sqrt(1 + cos(exp(x**2)))
llm,sin(x)**3 * cos(x)
llm,x**2 * cos(x**3) * exp(sin(x**3)) * log(1 + exp(sin(x**3))) / (1 + exp(sin(x**3)))
llm,x * exp(cos(x**2)) * atan(exp(cos(x**2)))**3 * sin(x**2) / (1 + exp(2*cos(x**2)))
llm,x * exp(x**2) * sinh(exp(x**2)) * log(1 + sinh(exp(x**2))) / (1 + sinh(exp(x**2)))
llm,x / (1 + x**4)
llm,x**3 * sin(x**4) * log(1 + sin(x**4)) * cos(x**4) / sqrt(1 + sin(x**4))
llm,x**3 * sin(x**4) * log(1 + cos(x**4))**6 / sqrt(1 + cos(x**4))
llm,x**2 * cos(x**3) * log(1 + sin(x**3))**2 / (1 + sin(x**3))
llm,sin(x)**2 * cos(x) * log(sin(x))
llm,x * cos(x**2) * log(1 + asin(sin(x**2)))**2 / sqrt(1 - sin(x**2)**2)
llm,x * exp(x**2) * cos(exp(x**2)) * atan(sin(exp(x**2))) / (1 + sin(exp(x**2))**2)
llm,x * exp(x**2) * sin(exp(x**2)) * cosh(exp(x**2))**2
llm,exp(sqrt(x))
llm,exp(cos(x)) * sin(x) * cos(x)
llm,x**3 * sin(x**4) * log(atan(cos(x**4)))**2 / (1 + cos(x**4)**2)
llm,x**2 * sin(x**3) * cos(x**3) * log(sin(x**3)**2 + 1)
llm,x * exp(x**2) * log(1 + exp(x**2))
llm,x**2 * cos(x)**2 * sin(x)
llm,x**3 * sin(x**4) * cos(x**4) / sqrt(1 + sin(x**4)**2)
llm,x**5 * log(x**3 + sqrt(1 + x**6)) / sqrt(1 + x**6)
llm,x * exp(x**2) * sin(exp(x**2)) * cos(exp(x**2))**2 * sqrt(1 + cos(exp(x**2)))
llm,x**2 * sin(x**3) * log(1 + cos(x**3)) * cos(log(1 + cos(x**3))) / (1 + cos(x**3))
llm,x * exp(x**2) * log(atan(exp(sin(x**2))) + 1)**2 * cos(x**2) / (1 + exp(2*sin(x**2)))
llm,x * log(1 + sqrt(x**2 + 1))**2 / sqrt(x**2 + 1)
llm,x**3 * cos(x**4) * sqrt(1 + sin(x**4)) * log(1 + sin(x**4))**3
llm,x * log(x**2 + 1) * sin(log(x**2 + 1))**2 * cos(log(x**2 + 1)) / (x**2 + 1)
llm,x**2 * cos(x**3) * sqrt(1 + sin(x**3)) * log(1 + sin(x**3))**2
llm,log(1 + x**2)
llm,x * exp(x**2) * sin(exp(x**2)) * atan(cos(exp(x**2)))**2 / (1 + cos(exp(x**2))**2)
llm,x * exp(x**2) * sin(exp(x**2))**2 * cosh(exp(x**2))
llm,x**3 * cos(x**4) * exp(sin(x**4))
llm,x * cos(x**2) * log(1 + log(1 + sin(x**2)))**2 / (1 + sin(x**2))
llm,x**3 * atan(1 + x**4)
llm,x * exp(x**2) * sin(exp(x**2)) * cos(exp(x**2)) * log(1 + cos(exp(x**2)))
llm,x**2 * sin(x**3) / (1 + cos(x**3))**2
llm,x * sin(x**2) * (1 + cos(x**2))**(1/3) * log(1 + cos(x**2))**4
llm,x * sqrt(1 + x**2) * log(1 + x**2)
llm,x * exp(x**2) * log(1 + acos(exp(x**2)))**2 / sqrt(1 - exp(2*x**2))
llm,x**3 * cos(x**2)
llm,x * exp(-x**2) * log(1 + exp(x**2))
llm,x * cos(x**2) * asin(sin(x**2))
llm,x * cos(x**2) * sqrt(1 + sin(x**2)) * log(1 + sin(x**2))**4 / (1 + sin(x**2))
llm,x * cos(x**2) * sqrt(1 + sin(x**2)) * log(1 + sqrt(1 + sin(x**2)))**2 / (1 + sin(x**2))
llm,x * exp(x**2) * atan(exp(x**2))**3 / (1 + exp(2*x**2))
llm,x * sin(x**2) * sqrt(1 + cos(x**2)) * log(1 + sqrt(1 + cos(x**2))) / (1 + cos(x**2))
llm,x**3 * sqrt(1 + x**4) * log(x)
llm,x * sin(x**2) * atan(cos(x**2)) / (1 + cos(x**2)**2)
llm,x * exp(x**2) * log(1 + sqrt(1 + exp(x**2))) / sqrt(1 + exp(x**2))
llm,x * sin(x**2) * sqrt(1 + cos(x**2)) * log(1 + cos(x**2)) * sin(log(1 + cos(x**2)))
llm,x**4 * exp(x**5) * cos(x**5)
llm,x**2 * sqrt(1 + x**3) * log(1 + x**3)
llm,x**2 * cos(x**3) * sqrt(1+sin(x**3)) * log(1+sin(x**3))
llm,x * sin(x**2) * log(1 + exp(cos(x**2))) * exp(cos(x**2))
llm,x**3 * sin(x**4) * sqrt(1 + cos(x**4)) * log(1 + cos(x**4))**3
llm,x * exp(sin(x**2)) * log(exp(sin(x**2)) + 1)**3 * cos(x**2) / (1 + exp(sin(x**2)))
llm,x * exp(x**2) * log(cos(exp(x**2))) * sin(exp(x**2))
llm,x * sin(x**2) * log(1 + sqrt(1 + cos(x**2))) * sqrt(1 + cos(x**2))
llm,x * sin(x**2) * log(1 + cos(x**2)) * cos(log(1 + cos(x**2))) / (1 + cos(x**2))
llm,x * log(x**2 + 1) * sin(log(x**2 + 1)) * cos(log(x**2 + 1)) / (x**2 + 1)
llm,x * sin(x**2) * (1 + cos(x**2))**(1/3) * log(1 + cos(x**2))**2
llm,x * exp(x**2) * sinh(exp(x**2)) * cosh(exp(x**2))
llm,x * cos(x**2) * log(1 + acos(sin(x**2)))**2 / sqrt(1 - sin(x**2)**2)
llm,x * cos(x**2) * exp(sin(x**2)) * sin(x**2)
llm,x * atan(sqrt(x**2 + 1)) / sqrt(x**2 + 1)
llm,x * cos(x**2) * exp(sin(x**2))
llm,x**3 * exp(x**4) * sqrt(exp(x**4) - 1) / (exp(x**4) + 1)
llm,x**4 * atan(1 + x**5)
llm,x * acos(x) / sqrt(1 - x**2)
llm,x * exp(x**2) * (1 + exp(x**2))**(1/3) * log(1 + exp(x**2))
llm,x**2 * sin(x**3) * cos(x**3) * exp(sin(x**3)**2)
llm,sin(x) * cos(x) * exp(sin(x)**2)
llm,x * s inh(x**2) * log(cosh(x**2))**2
llm,x * sin(log(x**2 + 1)) * log(1 + x**2) / (x**2 + 1)
llm,x * sin(x**2) * cos(x**2) / sqrt(1 + cos(x**2))
llm,x * sin(x**2) * cos(x**2) * sqrt(exp(sin(x**2)**2))
llm,x * cos(x**2) * log(1 + sin(x**2))**4 / sqrt(1 + sin(x**2))
llm,x * exp(x**2) * atan(sqrt(exp(x**2) - 1))
llm,x * exp(sin(x**2)) * atan(exp(sin(x**2)))**7 * cos(x**2) / (1 + exp(2*sin(x**2)))
llm,x * sin(log(1 + x**2)) * cos(log(1 + x**2)) / (1 + x**2)
llm,x**3 * sin(x**4) * sqrt(1 + cos(x**4)) * atan(sqrt(1 + cos(x**4)))
llm,x * exp(x**2) * sin(exp(x**2)) * log(1 + cos(exp(x**2)))**2 / (1 + cos(exp(x**2)))
llm,exp(x) * cos(exp(x))
llm,log(x + sqrt(1 + x**2)) / sqrt(1 + x**2)
llm,x * exp(x**2) * log(1 + exp(x**2)) * cos(log(1 + exp(x**2))) / (1 + exp(x**2))
llm,x * cos(x**2) * log(1 + atan(exp(sin(x**2)))) * exp(sin(x**2)) / (1 + exp(2*sin(x**2)))
llm,x * sin(x**2) * sqrt(1 + cos(x**2))
llm,x**2 * cos(x**3) * sqrt(1 + sin(x**3)) * log(1 + sin(x**3))
llm,cos(log(x)) / x
llm,x * log(x + sqrt(1 + x**2)) / (1 + x**2)**(3/2)
llm,x**2 * exp(x**3) * cos(exp(x**3)) * sin(exp(x**3))
llm,x**2 * exp(x**3) * log(1 + asin(exp(x**3))) / sqrt(1 - exp(2*x**3))
llm,x * sin(x**2) * log(1 + atan(cos(x**2))) / (1 + cos(x**2)**2)
llm,x**2 * exp(-x**3) * sin(x**3)
llm,x * cos(x**2) * sqrt(1 + sin(x**2)) * log(1 + sin(x**2))**5
llm,x**2 * exp(x**3) * log(1 + exp(x**3))**3 / sqrt(1 + exp(x**3))
llm,x * cos(x)**2
llm,x * log(x**2 + 1) * cos(log(x**2 + 1)) / (x**2 + 1)
llm,x**2 * sin(x**3) * log(atan(cos(x**3)))**2 / (1 + cos(x**3)**2)
llm,x * exp(x**2) * log(cosh(exp(x**2)))**3 * sinh(exp(x**2)) / cosh(exp(x**2))
llm,x * exp(x**2) * sinh(exp(x**2)) * cosh(exp(x**2))**2
llm,x * asin(x**2) / sqrt(1 - x**4)
llm,x * sin(x**2) * cos(x**2) / sqrt(2 - sin(x**2)**2)
llm,x**2 * cos(x**3) * exp(sin(x**3))
llm,x * exp(x**2) * log(1 + exp(x**2)) / (1 + exp(x**2))
llm,x**2 * exp(x**3) * atan(exp(x**3)) / (1 + exp(2*x**3))
llm,x * atan(sqrt(x**2 - 1)) / sqrt(x**2 - 1)
llm,x**3 * exp(x**2) * sin(x**2)
llm,x * cos(x**2) * asin(sin(x**2)) / sqrt(1 - sin(x**2)**2)
llm,x * sin(x**2) * cos(x**2) * sqrt(1 - sin(x**2))
llm,x * log(x**2 + 1) * sin(log(x**2 + 1))**3 / (x**2 + 1)
llm,x**2 * sinh(x**3) * cosh(x**3) * log(sinh(x**3))
llm,log(x + sqrt(1 + x**2))
llm,x**2 * atan(x**3)
llm,x * log(x**2 + 1)**3 * log(log(x**2 + 1)) / (x**2 + 1)
llm,x**2 * exp(x**3) * asin(exp(x**3)) / sqrt(1 - exp(2*x**3))
llm,x**3 * cos(x**4) * log(atan(sin(x**4))) / (1 + sin(x**4)**2)
llm,x * cos(x**2) * sqrt(1 + log(1 + sin(x**2))) / (1 + sin(x**2))
llm,x * sin(x**2) * sqrt(1 + cos(x**2)) * log(1 + sqrt(1 + cos(x**2))) / sqrt(1 + cos(x**2))
llm,x**3 * sin(x**4) * log(1 + sqrt(1 + cos(x**4))) / sqrt(1 + cos(x**4))
llm,x**3 * sin(x)**2 * cos(x)
llm,x * exp(x**2) * atan(exp(x**2))
llm,x**3 * exp(x**4) * log(1 + exp(x**4)) / (1 + exp(x**4))
llm,x * atan(sqrt(exp(x**2) - 1)) * exp(x**2) / sqrt(exp(x**2) - 1)
llm,x * cos(x**2) * sin(x**2) * sqrt(1 + sin(x**2)**2)
llm,x**2 * sin(x)**3
llm,x**4 * log(1 + x**5) / (1 + x**5)
llm,x * sin(x**2) * cos(x**2) * asin(cos(x**2)) / sqrt(1 - cos(x**2)**2)
llm,x**2 * cos(x**3) * log(1 + sqrt(1 - sin(x**3))) / sqrt(1 - sin(x**3))
llm,x**2 * exp(x**3) * atan(exp(x**3))**2 / (1 + exp(2*x**3))
llm,x * exp(x**2) * log(cosh(exp(x**2))) * sinh(exp(x**2)) * cosh(exp(x**2))
llm,x * cos(x**2) * sin(x**2) / sqrt(1 + sin(x**2)**2)
llm,x**3 * log(x)**2
llm,x**(3/2) * atan(sqrt(x))
llm,x * asin(exp(x**2)) * exp(x**2) / sqrt(1 - exp(2*x**2))
llm,x * cos(x**2) * sin(x**2)**2
llm,sin(x) * cos(x) * sqrt(1 - sin(x))
llm,x * sin(x**2) * log(1 + exp(cos(x**2))) * exp(cos(x**2)) / (1 + exp(cos(x**2)))
llm,x * sin(x**2) * cos(x**2) / (1 + sin(x**2)**2)
llm,atan(sqrt(x)) * log(1 + x) / sqrt(x)
llm,x * exp(x**2) * log(1 + exp(x**2))**4 * sin(log(1 + exp(x**2))) / (1 + exp(x**2))
llm,x * sin(x**2) * sqrt(1 + cos(x**2)) * log(1 + sqrt(1 + cos(x**2)))**2 / (1 + cos(x**2))
llm,x * tan(x**2) * log(sec(x**2))**5
llm,x * sin(x**2) * log(1 + cos(x**2)) * sqrt(1 + cos(x**2))
llm,x**3 * exp(x**2) * cos(x**2)
llm,x**3 * sin(x**4) * cos(x**4) / sqrt(1 + cos(x**4)**2)
llm,x * sin(x**2) * log(1 + sqrt(1 + cos(x**2)))**2 / sqrt(1 + cos(x**2))
llm,x * exp(x**2) * log(1 + sin(exp(x**2))) * cos(exp(x**2))
llm,x * log(1 + atan(x**2)) / (1 + x**4)
llm,x * cos(x**2) * (1 + sin(x**2))**(3/2) * log(1 + sin(x**2))
llm,x * sin(x)**2 * cos(x)**2
llm,exp(x) * log(1 + exp(x))
llm,x * exp(-x) * log(1 + x)
llm,x * exp(x**2) * sin(exp(x**2)) * sqrt(1 + log(1 + cos(exp(x**2)))) / (1 + cos(exp(x**2)))
llm,x**3 * log(1+sin(x**4)) * cos(x**4)
llm,sin(x)**3 * cos(x) * sqrt(1 + sin(x))
llm,x * exp(x**2) * sin(exp(x**2))**2 * cos(exp(x**2))**3
llm,log(x) / sqrt(x)
llm,x * sin(log(x**2 + 1))**10 * cos(log(x**2 + 1)) / (x**2 + 1)
llm,x**2 * exp(cos(x**3)) * sin(x**3) * atan(exp(cos(x**3))) / (1 + exp(2*cos(x**3)))
llm,x**3 * cos(x**4) * log(1 + log(1 + sin(x**4)))**3 / (1 + sin(x**4))
llm,x**3 * exp(x**4) * sin(x**4)
llm,x * atan(exp(x**2)) * exp(x**2)
llm,x * cos(x**2) * sqrt(1 + sin(x**2)) * log(1 + sin(x**2))**3 / (1 + sin(x**2))
llm,x * sqrt(1 - x**2) * log(x)
llm,x * exp(x**2) * asinh(exp(x**2))**3 / sqrt(1 + exp(2*x**2))
llm,sin(x) * cos(cos(x))
llm,log(x) / (x * (1 + log(x)))
llm,x * exp(x**2) * log(sinh(exp(x**2)))**2 * cosh(exp(x**2)) / sinh(exp(x**2))
llm,x**5 * sin(x**6) * cos(x**6) / sqrt(1 + sin(x**6)**2)
llm,x * cos(x**2) * exp(sin(x**2)**2) * sin(x**2)**3
llm,x**2 * log(1+sin(x**3)) * cos(x**3)
llm,x**3 * cos(x**4) * sqrt(1 + sin(x**4)) * log(1 + sin(x**4))**2 * cos(log(1 + sin(x**4)))
llm,x * sin(x**2) / (1 + cos(x**2))
llm,sqrt(x) * atan(sqrt(x))
llm,x**5 * exp(x**3) * sin(x**3)
llm,x * sin(x**2) * cos(x**2) * log(1 + cos(x**2)**2) / sqrt(1 + cos(x**2)**2)
llm,x * cos(x**2) * cos(log(1 + sin(x**2))) / (1 + sin(x**2))
llm,x * cosh(x**2) * log(cosh(x**2)) * sinh(x**2)
llm,x * log(log(x**2 + 1)) / (x**2 + 1)
llm,x * sin(x**2) * atan(sqrt(exp(cos(x**2)) - 1)) * exp(cos(x**2))
llm,x**2 * exp(x**3) * log(1 + sqrt(1 + exp(x**3))) * sqrt(1 + exp(x**3)) / (1 + exp(x**3))
llm,x * cos(x**2) * sqrt(exp(sin(x**2)) + 1) * log(1 + sqrt(exp(sin(x**2)) + 1)) / (exp(sin(x**2)) + 1)
llm,x * atan(sqrt(1 + x**2))
llm,x * cos(log(1 + x**2)) * log(1 + x**2) / (1 + x**2)
llm,x * exp(cos(x**2)) * log(atan(exp(cos(x**2))) + 1)**2 * sin(x**2) / (1 + exp(2*cos(x**2)))
llm,x**3 * cos(x**4) * log(1 + atan(sin(x**4)))**2 / (1 + sin(x**4)**2)
llm,x * log(1 + x) / (1 + x)
llm,sin(x)**2 * cos(x) * log(1 + sin(x)**2)
llm,x**5 * cos(x**3)
llm,x * exp(x**2) * sinh(exp(x**2)) * log(1 + cosh(exp(x**2)))
llm,x * exp(x**2) * sqrt(1 + exp(x**2)) * log(1 + exp(x**2))**2
llm,x * sin(x**2) * log(1 + cos(x**2))**3 * sin(log(1 + cos(x**2))) / (1 + cos(x**2))
llm,x * exp(x**2) * tan(exp(x**2)) * sec(exp(x**2))**2
llm,x**3 * sin(x**4) * (1 + cos(x**4))**(1/3) * log(1 + cos(x**4))**2
llm,x**5 * exp(x**3) * cos(x**3)
llm,x * cos(log(x**2 + 1)) * log(1 + x**2) / (x**2 + 1)
llm,x * sin(log(1 + x**2)) / (1 + x**2)
llm,x**2 * exp(x**3) * log(log(1 + exp(x**3))) / (1 + exp(x**3))
llm,x * sin(x**2) * cos(x**2) * sqrt(1 + sin(x**2))
llm,x * exp(x**2) * log(1 + exp(x**2))**3 / sqrt(1 + exp(x**2))
llm,x * exp(x**2) * cos(exp(x**2)) / sqrt(1 + sin(exp(x**2)))
llm,x * sin(x**2) * log(1 + sqrt(1 + cos(x**2)))
llm,sin(log(x)) / x
llm,sin(x) * cos(x) / (1 - sin(x))
llm,x * cos(x**2) * exp(sin(x**2)) * sin(x**2)**3
llm,x**3 * cos(x**4) * log(1 + sin(x**4)) / sqrt(1 + sin(x**4))
llm,x**3 * cos(x**4) * log(1 + sin(x**4))**3 / sqrt(1 + sin(x**4))
llm,x * cos(sqrt(x**2 + 1)) / sqrt(x**2 + 1)
llm,x**2 * exp(x**3) * sqrt(exp(x**3) + 1) / (exp(x**3) - 1)
llm,x**4 * log(1 + cos(x**5)) * sin(x**5)
llm,sqrt(x) * exp(sqrt(x))
llm,x**4 * exp(x**5) * atan(exp(x**5))
llm,x * sin(x**2) * sqrt(1 + cos(x**2)) * log(1 + cos(x**2))**6
llm,x**3 * exp(x**4) * cos(x**4)
llm,x * sin(log(x**2 + 1)) * log(x**2 + 1)**2 / (x**2 + 1)
llm,x * exp(x**2) * log(atan(exp(x**2))) / (1 + exp(2*x**2))
llm,exp(x) * sin(exp(x))
llm,x * log(x**2 + 1)**2 * log(log(x**2 + 1))**3 / (x**2 + 1)
llm,x * sin(x**2) * log(1 + sqrt(1 + cos(x**2)))**2 * cos(x**2) / (1 + cos(x**2))**(3/2)
llm,x * sinh(x**2) * log(sinh(x**2)) * cosh(x**2)
llm,sqrt(x) * exp(sqrt(x)) * cos(sqrt(x))
llm,x * sin(x**2) * atan(sqrt(cos(x**2))) / sqrt(cos(x**2))
llm,x * exp(x) * cos(x)
llm,x**2 * sin(x**3) * cos(x**3)**2
llm,x * exp(x**2) * log(1 + exp(x**2))**2 * cos(log(1 + exp(x**2))) / (1 + exp(x**2))
llm,x * sin(x**2) * exp(cos(x**2))
llm,x**2 * exp(x**3) * log(1 + acos(exp(x**3)))**2 / sqrt(1 - exp(2*x**3))
llm,x * cos(x**2) * sin(log(1 + sin(x**2))) / (1 + sin(x**2))
llm,x * sin(x**2) * cos(x**2)**2
llm,sqrt(x) * log(1 + sqrt(x))
llm,x * exp(x**2) * sin(sin(exp(x**2))) * cos(exp(x**2))
llm,x * tan(x**2)
llm,x * sin(x**2) * cos(x**2) * log(1 + sin(x**2)**2) / sqrt(1 + sin(x**2)**2)
llm,x**3 * sin(x**4) * sqrt(1 + cos(x**4)) * log(1 + cos(x**4))**2
llm,x * exp(x**2) * log(1 + sqrt(exp(x**2) + 1)) / sqrt(exp(x**2) + 1)
llm,x * exp(x**2) * sin(exp(x**2))**4 * cos(exp(x**2))
llm,x**3 * cos(x**4) * log(atan(sin(x**4)))**2 / (1 + sin(x**4)**2)
llm,x * sin(x**2) * log(1 + cos(x**2))
llm,x * cos(x**2) * sqrt(1 + sin(x**2)) * log(1 + sin(x**2))**4
llm,x * exp(x**2) * sqrt(exp(x**2) + 1) * log(exp(x**2) + 1)
llm,x**5 * cos(x**6) * log(1 + sin(x**6))**2 / (1 + sin(x**6))
llm,x**2 * exp(x**3) * (1 + exp(x**3))**(1/3) * log(1 + exp(x**3))
llm,x * exp(x**2) * sin(exp(x**2))**2 * cos(exp(x**2)) * sqrt(1 + sin(exp(x**2)))
llm,x**3 * exp(x**4) * sqrt(1 + exp(x**4))
llm,x * sin(x**2) * log(1 + log(1 + cos(x**2)))**3 / (1 + cos(x**2))
llm,sqrt(x) / (1 + x)
llm,x * exp(-x) * cos(x)
llm,x * exp(x**2) * log(1 + exp(x**2))**2 / sqrt(1 + exp(x**2))
llm,exp(x) / (1 + exp(x))**2
llm,x * exp(x**2) * log(1 + exp(x**2))**3 * sin(log(1 + exp(x**2))) / (1 + exp(x**2))
llm,x * cos(x**2) * sqrt(exp(sin(x**2)) + 1) * log(1 + sqrt(exp(sin(x**2)) + 1)) * exp(sin(x**2)) / (exp(sin(x**2)) + 1)
llm,x * cos(x**2) * (1 + sin(x**2))**(2/3) * log(1 + sin(x**2))
llm,x * atan(x)
llm,x**2 * cos(x**3) * sin(x**3)**2
llm,x**3 * exp(x**4) * atan(sqrt(exp(x**4) - 1))
llm,x**2 * atan(x**3) / (1 + x**6)
llm,x * exp(x**2) * sin(exp(x**2)) * cos(exp(x**2))**3
llm,x * exp(x**2) * tanh(exp(x**2)) * sech(exp(x**2))**2
llm,x * exp(x**2) * sin(exp(x**2))**3 * cos(exp(x**2))**2
llm,x * exp(x**2) * sin(exp(x**2)) * sqrt(1 + cos(exp(x**2))) / (1 + cos(exp(x**2)))
llm,x**3 * sin(x**2)
llm,x**2 * sin(x**3) * cos(x**3) / sqrt(1 + sin(x**3)**2)
llm,x * sin(x**2) * log(1 + cos(x**2))**2 / (1 + cos(x**2))
llm,x * exp(x**2) * log(1 + asinh(exp(x**2)))**2 / sqrt(1 + exp(2*x**2))
llm,x * sin(sqrt(1-x**2)) / sqrt(1-x**2)
llm,x * exp(x**2) * log(atan(exp(x**2)) + 1)**2 / (1 + exp(2*x**2))
llm,x * exp(x**2) * log(1 + sqrt(1 + exp(x**2))) / (1 + exp(x**2))
llm,x**5 * sin(x**3)
llm,x * exp(x**2) * sin(exp(x**2))**5 * cos(exp(x**2))**2
llm,x * sin(x**2) * atan(sqrt(1 + cos(x**2))) * cos(x**2) / sqrt(1 + cos(x**2))
llm,x * sin(x**2) * sqrt(exp(cos(x**2)) + 1) * log(1 + sqrt(exp(cos(x**2)) + 1)) * exp(cos(x**2)) / (exp(cos(x**2)) + 1)
llm,x * exp(x**2) * log(1 + sqrt(1 - exp(x**2))) / sqrt(1 - exp(x**2))
llm,x * sin(x**2) * (1 + cos(x**2))**(2/3) * log(1 + cos(x**2))
llm,x * log(1 + x**2) / sqrt(1 + x**2)
llm,x**2 * log(1+cos(x**3)) * sin(x**3) * sqrt(1+cos(x**3))
llm,x**2 * sin(x**3) * log(1 + cos(x**3)) / sqrt(1 + cos(x**3))
